Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Average Hookload kkgf,Hole Depth (TVD) m,Bit Drill Time h,Mud Density Out g/cm3,Gamma gAPI,FORMATION
0,146.456,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,13.217,NORDLAND GP. Top
1,146.459,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,13.217,NORDLAND GP. Top
2,146.612,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,11.715,NORDLAND GP. Top
3,146.761,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,14.418,NORDLAND GP. Top
4,146.767,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,14.418,NORDLAND GP. Top
5,146.914,3.28348622038976,48.9999989741963,4.42999956437802,7.0999999224,9.0,890.619996797388,1.02999999088548,92.3862873316606,146.009994492,2496.370117,1.01000000269609,12.316,NORDLAND GP. Top
6,146.999,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,12.316,NORDLAND GP. Top
7,147.066,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,11.054,NORDLAND GP. Top
8,147.218,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,12.496,NORDLAND GP. Top
9,147.362,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,12.496,NORDLAND GP. Top
10,147.541,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,10.413,NORDLAND GP. Top
11,147.828,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,10.705,NORDLAND GP. Top
12,147.98,2.93678289238026,62.9999967111788,6.82000019242995,2.220000132,14.0,890.619996797388,1.02999999088548,93.0083148779669,147.020004156,4135.609863,1.01000000269609,10.127,NORDLAND GP. Top
13,147.999,0.81577317685864,66.0000021360385,7.2599997237481,15.21000006,14.0,890.619996797388,1.02999999088548,96.0572643595627,147.9999998592,4367.959961,1.01000000269609,10.127,NORDLAND GP. Top
14,148.133,0.81577317685864,66.0000021360385,7.2599997237481,15.21000006,14.0,890.619996797388,1.02999999088548,96.0572643595627,147.9999998592,4367.959961,1.01000000269609,11.5,NORDLAND GP. Top
15,148.438,0.81577317685864,66.0000021360385,7.2599997237481,15.21000006,14.0,890.619996797388,1.02999999088548,96.0572643595627,147.9999998592,4367.959961,1.01000000269609,9.612,NORDLAND GP. Top
16,148.447,0.81577317685864,66.0000021360385,7.2599997237481,15.21000006,14.0,890.619996797388,1.02999999088548,96.0572643595627,147.9999998592,4367.959961,1.01000000269609,9.612,NORDLAND GP. Top
17,148.761,0.81577317685864,66.0000021360385,7.2599997237481,15.21000006,14.0,890.619996797388,1.02999999088548,96.0572643595627,147.9999998592,4367.959961,1.01000000269609,11.535,NORDLAND GP. Top
18,149.2,1.89667200116702,67.0000039443251,9.57000031375874,10.1800002648,14.0,890.619996797388,1.02999999088548,93.8954707932772,148.9999998912,4721.919922,1.01000000269609,10.814,NORDLAND GP. Top
